participant_id,nickname_first,nickname_last,nickname_number,best_score,gookbap_score,joined_time
15819ef0-f59b-ff62-bf56-842bda750680,"{""en"": ""Energetic"", ""ja"": ""活気ある"", ""ko"": ""활기찬""}","{""en"": ""Earthen Pot"", ""ja"": ""トゥッペギ"", ""ko"": ""뚝배기""}",0614,0,1943,2026-08-07 06:13:09.963+00
28523992-b8ab-eba5-ad56-33746a6de761,"{""en"": ""Heartwarming"", ""ja"": ""ほのぼのした"", ""ko"": ""훈훈한""}","{""en"": ""One Bowl"", ""ja"": ""一杯"", ""ko"": ""한그릇""}",6314,0,1236,2026-08-07 04:25:08.386+00
3352a4ba-1b4b-8eab-ed00-785963c316c1,"{""en"": ""Happy"", ""ja"": ""幸せな"", ""ko"": ""행복한""}","{""en"": ""Pot Rice"", ""ja"": ""釜飯"", ""ko"": ""솥밥""}",8795,0,1353,2026-08-07 06:39:04.019+00
3352a4ba-1b4b-8eab-ed00-785963c316c1,"{""en"": ""Happy"", ""ja"": ""幸せな"", ""ko"": ""행복한""}","{""en"": ""Pot Rice"", ""ja"": ""釜飯"", ""ko"": ""솥밥""}",8795,0,1953,2026-08-07 00:44:04.054+00
5542864d-000c-b8d3-89c3-263fe3b6c284,"{""en"": ""Cozy"", ""ja"": ""居心地の良い"", ""ko"": ""포근한""}","{""en"": ""Artisan"", ""ja"": ""職人"", ""ko"": ""장인""}",3660,0,1550,2026-08-07 06:18:21.892+00
69583861-60e4-2c52-c72f-f280182a5923,"{""en"": ""Caring"", ""ja"": ""つつましい"", ""ko"": ""살뜰한""}","{""en"": ""Fire Flavor"", ""ja"": ""炭火焼きの味"", ""ko"": ""불맛""}",1003,0,439,2026-08-05 11:12:07.262+00
69583861-60e4-2c52-c72f-f280182a5923,"{""en"": ""Caring"", ""ja"": ""つつましい"", ""ko"": ""살뜰한""}","{""en"": ""Fire Flavor"", ""ja"": ""炭火焼きの味"", ""ko"": ""불맛""}",1003,0,1427,2026-08-10 12:50:29.324+00
69583861-60e4-2c52-c72f-f280182a5923,"{""en"": ""Caring"", ""ja"": ""つつましい"", ""ko"": ""살뜰한""}","{""en"": ""Fire Flavor"", ""ja"": ""炭火焼きの味"", ""ko"": ""불맛""}",1003,0,0,2026-08-05 12:31:30.498+00
71d26c4d-35d2-8107-fcc8-f7d7b9b16d52,"{""en"": ""Heartwarming"", ""ja"": ""ほのぼのした"", ""ko"": ""훈훈한""}","{""en"": ""Handmade Taste"", ""ja"": ""手作りの味"", ""ko"": ""손맛""}",1589,0,1580,2026-08-10 11:21:53.226+00
91bb008d-d030-21e1-4c51-b3511dd79c74,"{""en"": ""Happy"", ""ja"": ""幸せな"", ""ko"": ""행복한""}","{""en"": ""Pot Rice"", ""ja"": ""釜飯"", ""ko"": ""솥밥""}",6685,0,1580,2026-08-10 04:07:11.073+00
9d51070b-c414-b7dc-ea5a-c5698d9ad662,"{""en"": ""Generous"", ""ja"": ""たっぷりの"", ""ko"": ""푸짐한""}","{""en"": ""Perseverance"", ""ja"": ""根気"", ""ko"": ""뚝심""}",4263,0,1352,2026-08-05 10:05:45.018+00
9d51070b-c414-b7dc-ea5a-c5698d9ad662,"{""en"": ""Generous"", ""ja"": ""たっぷりの"", ""ko"": ""푸짐한""}","{""en"": ""Perseverance"", ""ja"": ""根気"", ""ko"": ""뚝심""}",4263,0,930,2026-08-06 10:21:08.109+00
9d51070b-c414-b7dc-ea5a-c5698d9ad662,"{""en"": ""Generous"", ""ja"": ""たっぷりの"", ""ko"": ""푸짐한""}","{""en"": ""Perseverance"", ""ja"": ""根気"", ""ko"": ""뚝심""}",4263,0,1392,2026-08-04 12:18:43.164+00
9da8fdaa-6886-6434-d369-1d23e9705749,"{""en"": ""Chewy"", ""ja"": ""もちもちの"", ""ko"": ""쫄깃한""}","{""en"": ""Handmade Taste"", ""ja"": ""手作りの味"", ""ko"": ""손맛""}",6754,0,1184,2026-08-10 10:24:57.205+00
9da8fdaa-6886-6434-d369-1d23e9705749,"{""en"": ""Chewy"", ""ja"": ""もちもちの"", ""ko"": ""쫄깃한""}","{""en"": ""Handmade Taste"", ""ja"": ""手作りの味"", ""ko"": ""손맛""}",6754,0,1051,2026-08-10 10:59:19.428+00
af12b763-65dc-3f9d-a477-a0fe61d3c7e0,"{""en"": ""Heartwarming"", ""ja"": ""ほのぼのした"", ""ko"": ""훈훈한""}","{""en"": ""Earthen Pot"", ""ja"": ""トゥッペギ"", ""ko"": ""뚝배기""}",4579,0,964,2026-08-11 13:08:02.346+00
b2d04aad-429d-652a-4e9b-1900930ab6ad,,,,0,1434,2026-08-04 08:24:06.479+00
b80f10d7-7eb7-3e12-0580-f080c2962e61,"{""en"": ""Brave"", ""ja"": ""凛々しい"", ""ko"": ""씩씩한""}","{""en"": ""Enthusiast"", ""ja"": ""愛好家"", ""ko"": ""애호가""}",3062,0,1766,2026-08-09 09:45:46.702+00
b80f10d7-7eb7-3e12-0580-f080c2962e61,"{""en"": ""Brave"", ""ja"": ""凛々しい"", ""ko"": ""씩씩한""}","{""en"": ""Enthusiast"", ""ja"": ""愛好家"", ""ko"": ""애호가""}",3062,0,1375,2026-08-09 11:11:48.169+00
b80f10d7-7eb7-3e12-0580-f080c2962e61,"{""en"": ""Brave"", ""ja"": ""凛々しい"", ""ko"": ""씩씩한""}","{""en"": ""Enthusiast"", ""ja"": ""愛好家"", ""ko"": ""애호가""}",3062,0,1943,2026-08-09 13:06:43.342+00
